code,food,Chakula,TRP,THR,ILE,LEU,LYS,MET,CYS,PHE,TYR,VAL,ARG,HIS,ENERGY_KC ,PROCNT,A_PROTEI ,MFP_PROT,FAT,CHOCDF,FASAT,FAMS,FAPU,CHOLE,FIB,SUCS,PHYTAC,CA,P,MG,K,NA,FE,MFP_FE,ZN,CU,MN,VITA,A_VITA,VITD,VITE,VITC,THIA,RIBF,NIA,VIT B6,FOL,VIT B12,PANT
316,"Mutton, meat",Nyama ya kondoo,280,1089,1121,1970,2074,638,280,974,838,1213,1576,854,269,24.9,24.9,24.9,18,0,8.4,7.6,0.7,75,0,0,0,4,194,23,340,53,1.7,1.7,4.1,0.09,0.01,0,0,0,0,0,0.08,0.15,3.2,0.33,6,1.87,0.4
317,"Pork, medium fat, cooked",Nyama ya nguruwe ya kupikwa (mafuta kiasi),246,890,911,1566,1757,515,249,780,677,1059,1225,775,537,19.6,19.6,19.6,50.2,0,19.3,22.5,5.4,101,0,0,0,18,165,17,251,44,0.8,0.8,2.1,0.05,0.01,1,1,1,0,0,0.55,0.23,3.5,0.28,4,0.55,0.48
318,Sausage,Soseji,157,777,717,1317,1494,478,198,657,566,789,1160,566,369,19.7,19.6,19.6,31.2,1,10.8,13.9,3.8,83,0,0.3,0,32,184,17,361,1294,1.3,1.3,2.5,0.14,0.07,1,1,1,0,2,0.74,0.25,4.5,0.33,3,1.73,0.72
319,"Fish, smoked, dried-AP",Samaki wa kukausha kwa moshi,432,1690,1775,3133,3539,1141,414,1504,1302,1985,2306,1134,177,38.5,38.5,38.5,1.5,0,0.3,0.2,0.5,93,0,0,0,24,233,71,412,132,0.8,0.8,1,0.06,0.02,0,0,4,0,0,0.1,0.11,7.3,0.82,35,3.05,0.47
320,"Fish, smoked, dried-EP",Minofu ya samaki iliyokaushwa kwa moshi (EP),745,2913,3061,5401,6102,1967,713,2593,2244,3422,3975,1956,306,66.4,66.4,66.4,2.5,0,0.5,0.4,0.8,160,0,0,0,41,402,122,710,227,1.4,1.4,1.7,0.1,0.04,0,0,0,4,0,0,0.1,0.11,7.3,0.82,35,3.05
352,"Banana, cooked",Ndizi ya kupika,116,0.8,0,0,0.2,31.2,0.1,0,0.1,0,2.3,3.3,116,0.8,0,0,0.2,31.2,0.1,0,0.1,0,2.3,3.3,0,2,28,32,465,5,0.6,0,0.1,0.07,0.15,91,0,0,0,11,0.05,0.05,0.8,0.24,26,0,0.23
356,"Taro, raw",Magimbi ya kupikwa,23,69,54,111,67,20,32,82,55,82,103,34,112,1.5,0,0,0.2,26.46,0.041,0.016,0.083,0,4.1,0.4,78,43,84,33,591,11,0.1,0,0.2,0.2,0.37,4,0,0,2.38,4.5,0.095,0.025,0.6,0.283,22,0,0.303
357,"Squash, fresh - AP","Squash, fresh - AP",6,18,26,42,40,10,8,26,19,33,30,16,16,0.7,0,0,0.2,3.4,0.1,0,0.1,0,1.1,0.2,0,22,31,19,154,1,0.3,0,0.3,0.08,0.17,23,0,0,0,5,0.03,0.03,0.4,0.06,16,0,0.11
358,"Cassava, raw",Mhogo mbichi,131,0,1.1,0,0,0.3,31.9,0.1,0.1,0.1,0,1.5,160,1.36,0,0,0.28,38.06,0.074,0.075,0.048,0,1.8,1.7,54,16,27,21,271,14,0.3,0,0.3,0.05,0.11,1,0,0,0.19,20.6,0.087,0.048,0.854,0.088,27,0,0.107
359,"Cassava, dried, flour",Unga wa mhogo mkavu,314,2.6,0,0,0.7,76.6,0.2,0.2,0.2,0,3.6,2.2,314,2.6,0,0,0.7,76.6,0.2,0.2,0.2,0,3.6,2.2,130,46,168,24,583,5,1.9,0,0.7,0.12,0.26,14,0,0,0,72,0.31,0.05,1.4,0.7,36,0,0.7
